web-scraper-order,web-scraper-start-url,logos,logos-href,nameV,capacity
"1584816338-106","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Mégane Sport Tourer","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816332-98","https://www.automobiledimension.com/","SEAT","https://www.automobiledimension.com/seat-car-dimensions.html","New SEAT Tarraco 2019","New SEAT Mii electric 2020L x W x H: 3556 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816320-65","https://www.automobiledimension.com/","SUZUKI","https://www.automobiledimension.com/suzuki-car-dimensions.html","Suzuki S-Cross","Suzuki JimnyL x W x H: 3645 x 1645 x 1720 mm
Boot capacity: 85 dm3"
"1584816428-187","https://www.automobiledimension.com/","MAZDA","https://www.automobiledimension.com/mazda-car-dimensions.html","Mazda MX-5","New Mazda 2 2020L x W x H: 4070 x 1695 x 1495 mm
Boot capacity: 250 dm3"
"1584816648-287","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","New Ford Mustang Mach-E 2020","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816322-70","https://www.automobiledimension.com/","SUBARU","https://www.automobiledimension.com/subaru-car-dimensions.html","New Subaru Forester 2019","Subaru BRZL x W x H: 4240 x 1775 x 1320 mm
Boot capacity: 243 dm3"
"1584816353-164","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan Qashqai","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816648-279","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","New Ford Puma 2020","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816652-310","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat Doblò","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816338-115","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Grand Kangoo","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816351-155","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","Opel Combo Life","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816351-149","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","Opel Crossland X","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816655-317","https://www.automobiledimension.com/","FERRARI","https://www.automobiledimension.com/ferrari-car-dimensions.html","Ferrari 488 Pista","Ferrari PortofinoL x W x H: 4586 x 1938 x 1318 mm
Boot capacity: 292 dm3"
"1584816494-195","https://www.automobiledimension.com/","LEXUS","https://www.automobiledimension.com/lexus-car-dimensions.html","New Lexus ES 2019","Lexus CTL x W x H: 4355 x 1765 x 1455 mm
Boot capacity: 375 dm3"
"1584816652-302","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat 500L Cross","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816627-256","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai i30 Fastback","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816356-172","https://www.automobiledimension.com/","MITSUBISHI","https://www.automobiledimension.com/mitsubishi-car-dimensions.html","Mitsubishi Outlander","Mitsubishi Space StarL x W x H: 3795 x 1665 x 1510 mm
Boot capacity: 235 dm3"
"1584816610-221","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","Kia ProCeed","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816320-63","https://www.automobiledimension.com/","SUZUKI","https://www.automobiledimension.com/suzuki-car-dimensions.html","Suzuki Swift","Suzuki JimnyL x W x H: 3645 x 1645 x 1720 mm
Boot capacity: 85 dm3"
"1584816534-210","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","Range Rover","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816627-263","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai H-1 Travel","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816627-253","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai ix20","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816627-251","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai i20 Coupe","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
